GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
WL_GPIO0,EXT_GPIO0
WL_GPIO1,EXT_GPIO1
WL_GPIO2,EXT_GPIO2
LED,EXT_GPIO0
ENC_B1,GPIO16
ENC_B2,GPIO17
ENC_A1,GPIO12
ENC_A2,GPIO13
MOTOR_A1,GPIO10
MOTOR_A2,GPIO11
MOTOR_B1,GPIO14
MOTOR_B2,GPIO15
TOUCH,GPIO28
AURA,GPIO22
RGB,GPIO19
BUZZER,GPIO18
IMU_SDA,GPIO8
IMU_SCL,GPIO9
